27/02/2022;	   2;	 Bolachas e biscoitos;      5;  61,05
23/04/2020;	  34;	 Maca;      2;  45,17
29/06/2020;	  92;	 Alvejante;      9;  31,56
24/12/2022;	  36;	 Cenoura;      3;  36,03
04/01/2022;	   4;	 Cha;      5;  28,87
10/05/2021;	  45;	 Repolho;      3;   7,86
14/02/2021;	  80;	 Hidratante para maos;      2;  22,76
07/12/2021;	  12;	 Feijao preto;      6;  78,32
23/05/2020;	  21;	 Peito de frango;      9;  68,75
03/09/2023;	   1;	 Azeite;      9;   5,73
09/11/2024;	  34;	 Maca;      5;   6,74
06/09/2022;	   8;	 Milho em lata;      7;   1,30
11/04/2024;	  45;	 Repolho;      4;  22,29
27/11/2021;	  52;	 Peito de peru;      3;  24,46
18/12/2023;	  20;	 Batata palito;     10;  94,45
09/10/2022;	  59;	 Cervejas;      4;  55,80
03/07/2020;	  99;	 Pedra sanitaria;      5;  46,09
27/05/2023;	  15;	 Maionese;      1;  90,26
16/07/2020;	  60;	 Energeticos;      2;  91,30
03/06/2020;	  35;	 Batata;      3;  77,92
27/08/2024;	   3;	 Cafe;      1;  19,34
20/03/2022;	  23;	 Lasanha;      9;  26,09
27/02/2021;	  81;	 Espuma de barbear;     11;  43,04
13/06/2021;	  52;	 Peito de peru;      5;  19,87
12/10/2022;	  98;	 Luva de borracha;      9;  49,95
29/11/2023;	  66;	 Cachaca;      7;   6,67
12/03/2022;	  17;	 Oleo;      8;  19,22
21/04/2023;	   7;	 Arroz parbolizado;      9;  52,02
24/05/2021;	  27;	 Salsicha;      3;  24,29
10/04/2024;	  59;	 Cervejas;      7;  24,46
07/07/2020;	  47;	 Iogurte;      3;   7,38
01/07/2021;	  65;	 Vodka;      9;  20,41
14/01/2024;	  64;	 Vitaminas;     11;   1,28
24/05/2023;	  12;	 Feijao preto;     10;  94,01
13/04/2023;	  32;	 Mamao;      4;  12,02
12/10/2024;	  19;	 Pimenta;      1;  58,35
26/10/2022;	  46;	 Apresuntado;     11;  88,59
31/10/2023;	  42;	 Alface;     10;  49,27
11/10/2021;	  18;	 Sal;      6;   3,06
17/09/2024;	  54;	 Queijo;      6;   9,00
09/12/2021;	  92;	 Alvejante;      2;   1,91
24/12/2020;	  71;	 Creme dental;      2;  12,98
04/03/2020;	  21;	 Peito de frango;      6;  90,76
08/04/2020;	   9;	 Ervilha em lata;      8;  24,93
06/06/2024;	  84;	 Esponja para banho;      5;  39,80
26/06/2021;	  56;	 Salame;      8;  71,07
28/01/2022;	  94;	 Pa de lixo;     10;  62,11
16/09/2024;	  82;	 Algodao;     10;   0,35
07/09/2022;	  46;	 Apresuntado;      7;  35,81
16/01/2021;	   0;	 Arroz branco;      7;  45,78
